Item, Storage, Monster(s), Item Type, Ingredient Type, Crafting Value, Use, Effect, Cooking Effect, Find Checks, Find DC, Location
Vampiric Weapon (Vampire Heart),-,-,Weapon (Legendary)(Requires Attunement),-,-,-,"The weapon has a +2 bonus to attack rolls and damage rolls, adds +3d6 Necrotic damage to hits, and you gain the added damage as Temporary Hit Points if you are holding the weapon. You can also use this weapon as a focus for your spells. As a Bonus Action you can toss this magic weapon into the air. When you do so, the weapon begins to hover, flies up to 30 feet, and attacks one creature of your choice within 5 feet of itself. The weapon uses your attack roll and adds your ability modifier to damage rolls. While the weapon hovers, you can take a Bonus Action to cause it to fly up to 30 feet to another spot within 30 feet of you. As part of the same Bonus Action, you can cause the weapon to attack one creature within 5 feet of the weapon. After the hovering weapon attacks for the eight time, it flies back to you and tries to return to your hand. If you have no hand free, the weapon falls to the ground in your space. If the weapon has no unobstructed path to you, it moves as close to you as it can and then falls to the ground. It also ceases to hover if you grasp it or are more than 30 feet away from it.",-,-,-,-
Vampiric Shield (Vampire Heart),-,-,Shield (Legendary)(Requires Attunement),-,-,-,"The shield has a +2 bonus to your Armor Class and saving throws. It does +3d6 Necrotic damage when you are hit with melee attacks, and you gain the damage as Temporary Hit Points if you are holding the shield. You can also use this shield as a focus for your spells. You can take a Bonus Action to cause it to animate. The Shield leaps into the air and hovers in your space to protect you as if you were wielding it, leaving your hands free. The Shield remains animate for 10 minutes, until you take a Bonus Action to end this effect, or until you die or have the Incapacitated condition, at which point the Shield falls to the ground or into your hand if you have one free.",-,-,-,-
Ring of Command,pouch,The Crimson Abbot,Ring (Uncommon),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items",50 GP,-,"This ring was not particularly enchanted, but instead gradually absorbed the vampiric charming magic of The Crimson Abbot. The ring has 3 charges. You can use one charge to cast the spell Command. The ring regains 1d3 charges every long rest.",-,"Perception, Investigation, Religion, Arcana, Fated Tarot Reading","17(x1), Auto Success on Fated Tarot: The Hierophant or Justice (x1)", "The Crimson Monastery"
Sword of Crimson Abbot,-,The Crimson Abbot,Weapon (Very Rare),-,-,-,"Sword of Crimson Abbot, from the Fated Tarot Reading, with alternate rolling to find options.",-,"Perception, Investigation, Religion, Arcana, Fated Tarot Reading", "17(x1), Auto Success on Fated Tarot: The Hierophant (x1)", "The Crimson Monastery"
Stone Giant Nail Dust,bag,Stone Giant,Consumable (Uncommon),"Potion (Giant Strength - Stone)",13,"Weapon Enchant, Armor Enchant","You can use a Bonus Action to apply this to a weapon. When applied to a weapon, deal +1d8 more damage of the same type as your weapon for 1 minute.",-,"Survival, Nature, Medicine, Arcana","15(x1),20(x3),25(x5)", "Howlers"
Stone Giant Blood,vial,Stone Giant,Ingredient (Uncommon),"Potion (Giant Strength - Stone)",50 GP,-,"The stone giant blood remains slightly magical. It can be used in place of 50 GP worth of materials towards the 1000 GP necesasry to craft a Potion of Giant Strength (Stone), which would make your Strength score 23 for 1 hour.","When used in cooking, you can make food that has a special effect for up to 4 people. When eaten, you gain +1 to Strength checks for 4 hours.","Survival, Nature, Medicine, Arcana, Alchemist ","13(x2),15(x4),20(x10),25(x15)", "Howlers"
Vampire Spawn Fang,pouch,Vampire Spawn,Consumable (Uncommon),"Potions, Scrolls, Weapons",50 GP,Absorb,"Still freshly transformed, the vampire spawn fang holds some remnants of necrotic power. When consumed, gain 10 ft of ground speed and a Climb speed of 30 ft for 10 minutes, and you regain 1 Hit Point every time you deal damage. The effect ends if entering direct sunlight.",-,"Survival, Nature, Arcana","13(x1), 15(x2), 17(x3)", "Maidenmist Cementery, Maidenmist Cementery (The Barrow King)"
Proboscus,pouch,"Stirge, Jinxed Mosquito",Consumable (Common),-,-,Dart,"These probosci could be used as darts. When thrown they do 1d4 Piercing and 1d4 Necrotic damage.",-,"Survival, Nature","15(x1)", "Howlers, Drowned Crossroads"
Jinxed trinket,pouch,Bayou Beast,Consumable (Rare),"Potions, Scrolls, Spells",500 GP,Cheat Fate,"Some remaining jinx energy remains on this trinket. When you fail on a D20 Test, you can use a reaction to re-roll the test, but a random curse will befall on you sometime after. The jinxed energy disipates after one use, and the trinket breaks apart.",-,"Survival(Bayou Beast), Nature(Bayou Beast), Perception(The Grinning Sinner), Investigation(The Grinning Sinner), Insight, Deception, Arcana, Fated Tarot Reading","17(x1)(Bayou Beast), 20(x2)(Bayou Beast), Auto Success on Fated Tarot: Wheel of Fortune (x2)(Bayou Beast), 15(x1)(The Grinning Sinner), 17(x3)(The Grinning Sinner), 20(x5)(The Grinning Sinner), Auto Success on Fated Tarot: The Emperor (x5)(The Grinning Sinner)", "The Drowned Crossroads"
Jinxed Rum Base,"vial(x1),bottle(x10)",Bayou Beast,Consumable (Uncommon),"Potion (Jinxed Rum)",50 GP,Drink,"This fluid smells like fermented cane sugar, yet to be distilled rum, and flows with jinxed energy. When drunk directly, toss a coin (or roll a 1d2), if heads (2), your next D20 Test is made with advantage, if tails (1), your next D20 Test is made with Disadvantage","You can cook this to make 4 jinxed caramels. When eaten, toss a coin (or roll a 1d2), if heads (2), your next D20 Test has a +1 bonus, if tails (1), your next D20 Test has a -1 penalty.","Survival, Nature, Insight, Deception, Arcana, Fated Tarot Reading","15(x1),17(x5),20(x10), Auto Success on Fated Tarot: Wheel of Fortune (x10)", "The Drowned Crossroads"
Giant Crocodile Teeth,bag,Giant Crocodile,Ingredient (Uncommon),"Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items(Jewelry)",50 GP,-,"The teeth of the Giant Crocodile are perfect ingredients to craft sturdy hilts, jewelry or smaller sections of armor.",-,"Survival, Nature","13(x5),17(x10)", "The Drowned Crossroads"
Giant Crocodile Skin,bag,Giant Crocodile,Ingredient (Uncommon),"Armor",50 GP,-,"The skin of the Giant Crocodile is perfect for crafting sturdy armor, both on its own for leather armor, as well as for straps and coatings on other types of armor.",-,"Survival, Nature","13(x2),17(x4)", "The Drowned Crossroads"
Crocodile Meat,bag,"Giant Crocodile, Crocodile",Ingredient (Uncommon),-,-,-,-,"You can use this to cook mundane food for 4 people","Survival,Nature","17(x1),17(x2)(Giant Crocodile only)","The Drowned Crossroads"
Crocodile Tooth,pouch,Crocodile,Ingredient(Common),"Jewelry, Arrowheads",10 GP,-,"These small teeth are good to craft arrowheads, or jewelry.",-,"Survival, Nature","13(x5),17(x10)", "The Drowned Crossroads"
Crocodile Skin,bag,Crocodile,Ingredient (Common),"Armor",13 GP,-,"The skin of the Crocodile is perfect for crafting sturdy armor, both on its own for leather armor, as well as for straps and coatings on other types of armor.",-,"Survival, Nature","13(x1),17(x2)", "The Drowned Crossroads"
Paralytic Dust,pouch,"Ghoul, Ghast",Ingredient (common),"Scrolls, Spells, Arrowheads",5 GP,"Weapon Enchant, Arrowhead","These undead claws retain some paralytic effect after harvesting. You can use a Bonus Action to apply this to a weapon. When applied to a weapon or 1 ammunition, a paralytic effect is added to it for up to 1 minute that can affect creatures that aren't Undead. The effect is removed after 1 hit or 1 minute, whichever happens first, and you can use a larger quantity of dust to increase the number of hits or ammunition without needing to spend several Bonus Actions to do so. When hitting with the weapon or ammunition, the target makes a DC 12 Constitution Saving Throw, and becomes Paralyzed until the end of its next turn if failed. The dust can otherwise be used as 5 GP worth of materials towards the 25 GP necessary to craft Paralytic Ammunition (Common)(10), which retain their paralytic effect instead of lasting 1 minute.","When used as a spice for cooking, you can make food with a special effect for 4 people. When eaten, you become Paralyzed for 1 minute. Try not to eat it yourself.","Survival, Nature, Arcana","10(x1), 13(x5), 17(x10)", "The Drowned Crossroads, Maidenmist Cementery"
Paralytic Ammunition,-,-,Ammunition (Common),-,-,-,"You can use a Bonus Action to apply this to a weapon. When applied to a weapon or 1 ammunition, a paralytic effect is added to it for 1 hit that can affect creatures that aren't Undead. The effect is removed after 1 hit, and you can use a larger quantity of dust to increase the number of hits or ammunition without needing to spend several Bonus Actions to do so. When hitting with the weapon or ammunition, the target makes a DC 12 Constitution Saving Throw, and becomes Paralyzed until the end of its next turn if failed.",-,-,-,-
Coffin Nails,pouch,"Ferryman,Phantom Hearse",Consumable (Rare),"Scrolls, Spells",100 GP,Dart,"These coffin nails exhude cursed energy. Make a ranged spell attack with +7 to hit, the nail will float in the air and fly at a piercing speed towards the target. On a hit, it deals 1d4 Piercing damage and 2d8 Necrotic damage, and the target will have the Restrained condition until the end of the user's next turn.",-,"Perception, Investigation, Insight, Arcana","13(x3),15(x5),17(x7)", "The Drowned Crossroads, Maidenmist Cementery"
"Coffin Water (Elixir of Fog Walking Base)","vial, bottle(x10)",Ferryman,Consumable (Uncommon),"Potion (Elixir of Fog Walking)",50 GP,Drink,"Water from rivers filled with souls, this is the perfect base to make the Elixir of Fog Walking potion. When drunk directly, spells of Necromancy are empowered for 10 minutes, and gain +1 to hit or to the spell save DC for the duration.",-,"Perception, Investigation, Insight, Arcana","13(x5),17(x10),20(x30)", "The Drowned Crossroads"
Ghast Blood,vial,Ghast,Consumable (Common),"Scrolls, Spells",5 GP,"Drench, Absorb","When applied to armor or clothes, the stench of Undead confuses Undead with an Intelligence score lower than 10 for 1 hour, treating the wearer as Friendly for the duration, or until washed off. Alternatively, you can consume all of its necrotic energy to add a +2 to hit or spell save DC to cast a Necromancy spell.",-,"Survival, Perception, Investigation","15(x2)", "The Drowned Crossroads, Maidenmist Cementery"
Bonemeal,bag,Skeleton,Consumable (Common),"Potions, Scrolls, Spells, Wands, Rods, Staffs",5 GP,Absorb,"A skeleton's remains can be used to prepare potions or spells, but when used for Druidic spells, their potency is enhanced. You can consume all the energy of the bones to add a +2 to hit or spell save DC to cast a Druidic spell.",-,"Survival, Perception, Investigation","13(x1),15(x2)", "The Drowned Crossroads, Maidenmist Cementery"
Skull,bag,"Skeleton, Ogre, Ettin",Ingredient (Common),"Spells, Wands, Rods, Staffs",20 GP,-,"A skull is always a nice addition to spellcasting tools. You can use this in place of 20 GP worth in materials for casting spells or crafting magic wands, rods, or staffs.",-,"Perception, Investigation, Arcana","13(x1),15(x2)(Ogre, Ettin),17(x3)(Ogre, Ettin)","The Drowned Crossroads, Maidenmist Cementery, Foothill"
Homeward Bone Fragment,bag,Skeleton,Consumable (Uncommon),"Potions, Scrolls, Spells",100 GP,Activate,"You find a particular glow in a single bone fragment out of the skeleton. These bones yearn for some rest. If you collect 10 of these you can use the effects of a Homeward Bone. Alternatively, you can activate its power to expend 1 Hit Die and regain Hit Points.","You can cook this bone to cook a bone broth for 1 person. When drunk, you gain the effects of a short rest without needing to spend time to rest.","Survival, Perception, Investigation, Religion","25(x1)","The Drowned Crossroads, Maidenmist Cementery"
Zombie Fluid,vial,"Zombie, Ogre Zombie",Consumable (Common),"Scrolls, Spells",5 GP,Absorb,"The energy of undeath is strong in this fluid. You can consume the necrotic energy to add a +2 to hit or spell save DC when casting Necromancy spells.","When added in cooking, you can prepare a meal with a special effect for 4 people. When eaten, you take 1d6 Poison damage and have the Poisoned condition for 3 hours.","Survival, Perception, Investigation","13(x1),15(x3),13(x3)(Ogre Zombie),15(x5)(Ogre Zombie),20(x7)(Ogre Zombie)", "The Drowned Crossroads, Maidenmist Cementery, The Hartsblight Forest"
Curse Bottle,bottle,The Grinning Sinner,Ingredient (Very Rare),"Potions, Scrolls, Spells, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items",3000 GP,-,"The Grinning Sinner's own Curse Bottle, still holds some liquid, which can be used in place of 3000 GP for crafting magic items.","When used in cooking, you can prepare food with a special effect for 4 people. When the food is eaten, you gain the benefits and penalties of the Crooked Fortune Dark Bargain for 24 hours.","Perception, Investigation, Insight, Arcana, Fated Tarot Reading","20(x1), Auto Success on Fated Tarot: The Emperor (x1)", "The Drowned Crossroads"
Nectar of the Green Man,vial,The Grinning Sinner,Potion (Very Rare),-,-,-,-,-,"Perception, Investigation, Deception, Insight, Arcana, Fated Tarot Reading","20(x1), Auto Success on Fated Tarot: The Emperor (x1)", "The Drowned Crossroads"
Jinxed Rum,vial,The Grinning Sinner,Potion (Rare),-,-,-,-,-,"Perception, Investigation, Deception, Insight, Arcana, Fated Tarot Reading","13(x1),17(x2),20(x3), Auto Success on Fated Tarot: The Emperor (x3)", "The Drowned Crossroads"
Random Magic Item (DMG p.327) (Very Rare),-, The Grinning Sinner,-,-,-,-,-,-,"Perception, Investigation, Deception, Insight, Arcana, Fated Tarot Reading", "13(x1),17(x2),20(x3), Auto Success on Fated Tarot: The Emperor (x3)","Ghostlight Crashsite, The Crooked House, The Bag"
Blunderbuss of the Grinning Sinner,bag,The Grinning Sinner,Weapon (Very Rare),-,-,-,"Blunderbuss of the Grinning Sinner, from the Fated Tarot Reading, with alternate rolling to find options.",-,"Survival, Perception, Investigation, Fated Tarot Reading","20(x1), Auto Success on Fated Tarot: The Emperor (x1)", "The Drowned Crossroads"
Black Slime,vial,Devil's Glove,Consumable (common),"Potions, Scrolls, Spells",13 GP,Weapon Enchant,"You can use a Bonus Action to apply this to a weapon. When applied to a weapon, it is enhanced with decay for 1 minute. During this time, attacks with the weapon deal +1d4 Acid damage on a hit, or +3d6 Necrotic or Acid damage, choosing the one that would do more damage in case of resistances, if the target is a plant based creature.","When used for cooking, your breath smells of decay for 1 hour. Creatures within 5 ft of you make a DC 13 Constitution Saving Throw or enter a coughing fit and become Stunned until the end of their next turn.","Survival, Nature","13(x1), 15(x2)", "The Drowned Crossroads"
Soul Embers,pouch,Will-o'-Wisp,Consumable (common),"Potions, Scrolls, Weapons, Armor, Shields, Rods (Fire), Wands (Fire), Staffs (Fire), Rings (Fire), Wondrous Items (fire)",13 GP,"Weapon enchant, Torch","Blue-green embers, reminiscent of soul coal. You can use a Bonus Action to apply this to a weapon. When applied to a weapon, it glows with a faint green-blue light for 1 minute, and attacks to incorporeal creatures ignore resistances to slashing, bludgeoning or piercing damage for the duration. If sprinkled on a torch, the light will shift to blue-green light, and incorporeal creatures in a 10 ft radius to the torch become corporeal losing any resistances to slashing, bludgeoning and piercing damage when affected like this.",-,"Survival, Perception, Investigation, Arcana","17(x1)", "The Drowned Crossroads"
Dream Shard,pouch,Dream Eater,Consumable (Rare),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items",250 GP,Absorb,"A fragment of the dreams of the victims of the Dream Eater. When consumed, you gain some introspective benefit from them. You permanently gain a +1 bonus to one skill you choose.",-,"Survival, Perception, Investigation, Insight, Arcana","17(1 for each party member)", "Maidenmist Cementery"
Dream Orb,pouch,Dream Eater (Side Quest Boss Monster),Consumable (Very Rare),-,-,Absorb,"The dreams and souls of the fallen heroes that fell victim to the Dream Eater are encapsuled in this orb. When consumed, you see glimpses of the experience of their adventures, and you gain a Feat of your choice. When consumed, the orb simply vanishes.",-,"Survival, Perception, Investigation, Insight, Arcana","Auto Success (1 for each party member)", "Maidenmist Cementery"
Dream Eater Blood,vial,"Dream Eater, Dream Eater (Side Quest Boss Monster)",Ingredient (Very Rare),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items",2500 GP,-,"The blood of the Dream Eater can be used in place of 2500 GP for crafting magic items.","When used to cook food, you can prepare food with a special effect for up to 2 people. When eaten, your eyes become filled with hypnotic swirls for 12 hours. You can cast Charm Person at will for the duration.","Survival, Nature, Arcana","20(x1)", "Maidenmist Cementery"
Dream Eater Feather,bag,"Dream Eater, Dream Eater (Side Quest Boss Monster)",Consumable (Very Rare),"Potions, Scrolls, Wondrous Items, Arrow Fletchings",2000 GP,"Activate, Fire with arrow","When activated, or when tied to an ammunition and it hits a target, an emanation of hypnotic light in a 10 ft radius sphere is generated from the feather, and creatures in the area make a DC 16 Wisdom Saving Throw, becoming Incapacitated and having their Speed reduced to 0 until the start of the user's next turn on a failure. The feather can be used as is, tied to ammunition, or as 2000 GP worth of materials towards the 10,000 GP necessary to craft Dream Eater Ammunition (Very Rare)(10), or towards the 20,000 GP necessary to craft a Cloak of the Dream Eater (Very Rare)",-,"Survival, Nature, Arcana","15(x1),17(x2),20(x3),23(x5)", "Maidenmist Cementery"
Dream Eater Ammunition,quiver,-,Ammunition (Very Rare),-,-,-,"Ammunition magically enchanted with the remains of a Dream Eater. When it hits a target, an emanation of hypnotic light in a 10 ft radius sphere is generated from the ammunition, and creatures in the area make a DC 16 Wisdom Saving Throw, becoming Incapacitated and having their Speed reduced to 0 until the start of the user's next turn on a failure.",-,-,-,-
Cloak of the Dream Eater,-,-,Wondrous Item (Very Rare)(Requires Attunement),-,-,-,"Filled with hypnotic patterns, this cloak can confuse and entrance people like the Dream Eater used to. The cloak has 5 charges. While wearing the cloak and attuned to it, you can spend 1 charge and use a Magic Action to extend the cloak and reveal the hypnotic patterns on the inside lining. Creatures in a 20 ft Cube from you that are able to see the inside lining of the cloak must succeed on a DC 16 Wisdom Saving Throw or become Incapacitated and have their Speed reduced to 0 until the start of your next turn. You can also spend 1 charge and gain a Flying Speed equal to your ground speed for 1 hour. You can also use 1 charge and a Magic Action to consume the energy of an Incapacitated creature, which take 4d8 Psychic damage and their Charisma score is reduced by 1d6. The cloak regains 1d6 charges on a Long Rest up to its maximum.",-,-,-,-
Bug Parts,pouch,"Skitterswarm, Giant Centipede",Ingredient (Common),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items",13 GP,-,"Bug parts are often used in enchantments and potions","Ew! When added to cooking, you can cook for 1 person. When the food is eaten, you take 1d4 Poison damage, and for 1 hour, all your attacks also deal +1d4 Potion damage","Survival, Perception, Investigation, Nature", "13(x1),17(x3)","Moors, Wickermoor Village, Skitterdeep Mine"
Giant Carapace,bag,Giant Centipede,Consumable (Uncommon),"Potions, Scrolls, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items",50 GP,"Armor attachment","This hard carapace of a slain giant insect will add +1 AC when attached to armor or shields, but it will fall apart after the character suffers damage 5 separate times.","When added to cooking, you can cook a special effect for up to 4 people. When eaten, you take 1d4 poison damage and have an added resistance for 1 hour. For the duration, you add +1 to Constitution Saving Throws", "Survival, Perception, Investigation, Nature", "15(x1), 20(x2)","Moors, Skitterdeep Mine, Vermintoll Abomination Lair"
Random Armament (DMG p.328) (Rare or Uncommon),-,"Fleshdobbin, Undead Centaur",Armament (Rare),-,-,-,-,-,"Survival, Perception, Investigation", "15(x1)(Uncommon),20(x1)(Rare)","Skitterdeep Mine, Moors, Foxwillow (Galloping Headsman riled), Maidenmist Cementery"
Memento,pouch,"Fleshdobbin, Deepdrek",Mundane,-,-,-,"Locket with pictures of a loved one",-,"Survival, Perception, Investigation","13(x1)", "Skitterdeep Mines"
Random Implement (DMG p.329)(Uncommon),-,Deepdrek,Implement (Uncommon),-,-,-,-,-,"Survival, Perception, Investigation","17(x1)", "Skitterdeep Mines"
Gunpowder,bag,Deepdrek,Ingredient(uncommon),"Bomb, Bullets",5 GP,-,"Enough gunpowder to craft 30 Revolver Ammunition, or a tenth of what's needed to craft a bomb.","When used for preparing food, your cookware explodes. What were you even thinking?","Survival, Perception, Investigation","13(x1)", "Skitterdeep Mines"
Contagious Ooze,vial,Centipede Hag,Consumable (Very Rare),"Spells",500 GP,"Throw, Pour","An pustulent ooze of disease. When thrown or poured into contact with a creature, the ooze affects them with a disease. The target must succeed on a Constitution saving throw or take 11d8 Necrotic damage and have the Poisoned condition. Also, choose one ability when you cast the spell. While Poisoned, the target has Disadvantage on saving throws made with the chosen ability. The target must repeat the saving throw at the end of each of its turns until it gets three successes or failures. If the target succeeds on three of these saves, the spell ends on the target. If the target fails three of the saves, the spell lasts for 7 days on it. Whenever the Poisoned target receives an effect that would end the Poisoned condition, the target must succeed on a Constitution saving throw, or the Poisoned condition doesn't end on it.","When used for preparing food, you can create up to 8 portions of poisoned food. When eaten, you take 3d8 Poison damage and have the Poisoned condition for 7 days. You shouldn't eat this.","Survival, Perception, Investigation, Poisoner Kit, Fated Tarot Reading","Auto Success on Fated Tarot: The Star", "Skitterdeep Mines"
Bag of Vile Filth,bag,Centipede Hag,Consumable (Very Rare),-,-,Throw,"A bag of absolute vile filth. When thrown, the filth is spread in a 20 ft radius from the point of impact, and creatures in the area make a DC 15 Constitution Saving Throw, or have the Poisoned condition. Immediately after the filth spreads, as if on cue, a swarm of insects fills the area, and the area is Lightly Obscured and Difficult Terrain. When the swarm appears, each creature in it makes a Constitution saving throw, taking 4d10 Piercing damage on a failed save or half as much damage on a successful one. A creature also makes this save when it enters the swarm's area for the first time on a turn or ends its turn there. A creature makes this save only once per turn. The swarm leaves after 10 minutes have passed.",-,"Perception, Investigation, Arcana, Insight, Fated Tarot Reading","15(x1), 20(x2), Auto Success on Fated Tarot: The Star (x2)", "Skitterdeep Mines"
Memory Fragment,pouch,Lake Dredger,Consumable (Very Rare),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items",5000 GP,Absorb,"Past victims of the Lake Dredger are impaled in its ribs until it's amalgamation of flesh completely engulfs them. All that remains are their faded memories, but a mere fragment of their being. When you consume these, you permanently gain a +1 bonus to two skills you choose.",-,"Survival, Perception, Investigation, Nature, Arcana","15(x2), 17(1 for each party member)", "Moonsong Lake"
Random Arcana (DMG p.327) (Common),-,Mutant Nurse,-,-,-,-,-,-,"Survival, Perception, Investigation, Arcana","17(x1)", "Memory's Rest"
Mutant Catalyst,syringe,"Mutant Nurse, Serum Brute",Consumable (Common),"Potions",13 GP,Inject,"You can use a Bonus Action to inject the stimulant, and until the start of your next turn, your speed is doubled, you can make one more Attack action, and you have a +2 bonus to your Armor Class. However, once the current battle is over, you roll 1d4, and on a 1 you take 1d6 Poison damage.",-,"Perception, Investigation, Medicine","17(x1)", "Memory's Rest"
Tincture Base,"vial, bottle(x10)","Mutant Nurse, Wormhost Surgeon, The Weeping Widow",Consumable (Common),"Potion (Tincture of Mourning)",13 GP,Drink,"This tincture base can be used in place of 13 GP towards the 1,000 GP needed to make a Tincture of Mourning. When drunk directly, you gain a +2 bonus on Wisdom Saving Throws against being Charmed for 1 hour.","When used for cooking, you can prepare food with a special effect for up to 4 people. When eaten, you gain a +1 bonus on Wisdom Saving Throws against being Charmed for 2 hours.","Perception, Investigation, Medicine, Fated Tarot Reading (The Weeping Widow only)","15(x3), 17(x6), 20(x10)(The Weeping Widow only), Auto Success on Fated Tarot: Temperance or The High Priestess (x10)", "Memory's Rest"
Infested Bottle,bottle,Wormhost Surgeon,Consumable (Uncommon),"Spells",50 GP,Throw,"The Wormhost Surgeon's infested concoction, although in the heat of battle it seems it lost some of its potency. When thrown, the infested concoction explodes in a 10 ft radius sphere. Creatures in the area make a DC 14 Dexterity Saving Throw, and take 4d6 Pschic damage and is infested with parasitic worms on a failure. When infested the creature takes 1d6 Psychic damage at the end of its turns as the worms burrow towards its brain. This effect ends if the creature takes Poison damage, if it dies, or in 3 turns. (DM only info: A creature slain with this concoction recovers 5 Hit Points after 1 round and tries to attack again.)",-,"Perception, Investigation, Medicine","17(x1)", "Memory's Rest"
Rage Serum,vial,Hospital Horror,Consumable (Common),"Spells",13 GP,Drink,"When drunk, you become furious for 1 minute. You can make one extra attack per turn, but attacks against you have Advantage.",-,"Perception, Investigation, Medicine","15(x1)", "Memory's Rest"
Mutant Blood,vial,Worm Mutant Patient (Flesh Golem),Consumable (Uncommon),"Potions, Scrolls, Spells",50 GP,Throw,"The mutating agent that the surgeons added to this patient is still present in their blood. When thrown, a target must succeed on a DC 14 Constitution Saving Throw or take 3d6 Psychic damage and be Stunned until the start of your next turn. This does not have an effect on creatures already mutated in this hospital.","If you have proficiency in the Alchemist Kit, you can refine the agent and make 3 vials with the same effect.","Perception, Investigation, Medicine, Alchemist Kit","15(x1),20(x2)", "Memory's Rest"
Cursed Eye,bottle,Serum Brute,Consumable (Rare),"Potions, Scrolls, Spells",500 GP,Activate,"The cursed eye from the Serum Brute still has one charge of magical energy. You can spend 1 charge to activate it and become surrounded by a withering gaze for 10 minutes, a 5 ft emanation which creatures who enter or start their turn in the emanation take 1d6 Psychic damage. During this time, you can spend a Magic Action to point the eye gaze to a 20 ft Cone area. Creatures in the cone area make a DC 15 Wisdom Saving Throw taking 2d6 Psychic damage and becoming Frightened for the duration on a failure, or half as much damage with no additional effects on a success. Once the effect ends, the eye crumbles to dust and disappears. Alternatively, you can use this as 500 GP in ingredients towards the 2000 GP necessary to make a Cursed Eye Prosthetic (Rare).",-,"Survival, Perception, Investigation, Medicine","17(x1)", "Memory's Rest"
Cursed Eye Prosthetic,-,-,Wondrous Item (Rare),-,-,-,"You have refined the magic in the cursed eye of the Serum Brute to make a prostethic immitation of its power. You wear this as a prosthetic eye tied to your forehead. The eye has 3 charges. You can spend 1 charge to activate it and become surrounded by a withering gaze for 1 minute, a 5 ft emanation which creatures who enter or start their turn in the emanation take 1d6 Psychic damage. During this time, you can spend 1 charge and a Magic Action to point the eye gaze to a 20 ft Cone area. Creatures in the cone area make a DC 15 Wisdom Saving Throw taking 2d6 Psychic damage and becoming Frightened for the duration on a failure, or half as much damage with no additional effects on a success. The eye recovers 1d3 charges on a long rest.",-,-,-,-
Mutant Fire Gland,bag,The Creation (Chimera),Consumable (Rare),"Potions, Scrolls, Spells, Rods, Wands, Staffs, Rings, Wondrous Items",500 GP,"Throw, Weapon Enchant","This mutant fire gland was the source of the psychic fire of the Creation. When thrown, psychic energy explodes in a 20 ft radius sphere, and creatures in the area make a DC 15 Intelligence Saving Throw. On a failure, they take 8d6 Psychic damage, and subtract 1d6 from attack rolls and ability checks, as well as Constitution saving throws to maintain concentration for 1 minute. On a success, they take half that damage and no additional effects. Alternatively, you can use a Bonus Action to apply the gland's secretions to a weapon, which will be coated in psychic fire for 10 minutes. During this time, you add +1d6 Psychic damage to hits made with that weapon, and creatures damaged with the weapon subtract 1d4 from their next attack roll.",-,"Survival,Nature","17(x1),23(x2)", "Memory's Rest"
Random Relic or Arcana (DMG p.331) (Rare),-,The Weeping Widow,-,-,-,-,-,-,"Survival, Perception, Investigation, Religion, Arcana","15(x1),17(x2), 20(x3), Auto Success on Fated Tarot: Temperance or The High Priestess (x3)", "Memory's Rest"
Soporific Concoction,vial,The Weeping Widow,Consumable (Rare),"Potions, Scrolls, Spells",500 GP,Throw,"A diluted concoction of The Weeping Widow's Soporific Infusion. When thrown, the bottle explodes in a mist in a 15 ft radius. Creatures in the area make a DC 16 Constitution Saving Throw, having the effects of the soporific on a failure, or falling unconscious if failed by 5 or more. While under the soporific effect, if conscious, their speed is halved and only being able to do an Action or a Bonus Action during their turn but not both, and any spells casted by the creature fail. If a creature is under this effect but still conscious, they make another DC 16 Constitution Saving Throw at the start of each turn, ending the effect on a success, or falling unconscious if it is failed by 5 or more. If the creature stays conscious during the effect for 1 minute, the effect ends. Once unconscious, they can regain consciousness if they take damage or are shaken by an ally.","When using this in cooking, you can prepare food with a special effect for up to 4 people. When eaten, you make a DC 14 Constitution Saving Throw or fall asleep on a failure, and have no effect on a success.","Perception, Investigation, Medicine, Alchemist Kit","15(x1),17(x2),20(x3), Auto Success on Fated Tarot: Temperance or The High Priestess (x3)", "Memory's Rest"
Veil of the Weeping Widow,-,The Weeping Widow,Wondrous Item (Very Rare),-,-,-,"The Veil of the Weeping Widow, from the Fated Tarot Reading, with alternate rolling to find options.",-,"Survival, Perception, Investigation, Religion, Arcana","20(x1), Auto Success on Fated Tarot: Temperance(x1)", "Memory's Rest"
